accepted,accepted_correct,accepted_open_outage,accepted_precision,accepted_unsafe,accuracy,decision_accept,decision_fallback,decision_refine,decision_semantic-HARQ,known_id_accuracy,known_id_count,open_exposure_count,rate_accept,rate_fallback,rate_refine,rate_semantic-HARQ,run,samples
257,257,0.0,1.0,0,0.9296875,257,34,38,55,0.9296875,384,0,0.6692708333333334,0.08854166666666667,0.09895833333333333,0.14322916666666666,channel-open_dinov3_vitb16_strict_seed0_605112,384
243,243,0.0,1.0,0,0.9427083333333334,243,42,25,74,0.9427083333333334,384,0,0.6328125,0.109375,0.06510416666666667,0.19270833333333334,channel-open_dinov3_vitb16_strict_seed1_605112,384
253,252,0.003952569169960474,0.9960474308300395,1,0.9140625,253,51,28,52,0.9140625,384,0,0.6588541666666666,0.1328125,0.07291666666666667,0.13541666666666666,channel-open_dinov3_vitb16_strict_seed2_605112,384
151,151,0.0,1.0,0,0.09841008771929824,151,3401,4,92,0.9348958333333334,384,3264,0.04139254385964912,0.9322916666666666,0.0010964912280701754,0.025219298245614034,class-open_dinov3_vitb16_strict_seed0_605112,3648
164,164,0.0,1.0,0,0.09210526315789473,164,3378,26,80,0.875,384,3264,0.044956140350877194,0.9259868421052632,0.00712719298245614,0.021929824561403508,class-open_dinov3_vitb16_strict_seed1_605112,3648
157,157,0.0,1.0,0,0.09429824561403509,157,3391,8,92,0.8958333333333334,384,3264,0.04303728070175439,0.9295504385964912,0.0021929824561403508,0.025219298245614034,class-open_dinov3_vitb16_strict_seed2_605112,3648
151,151,0.0,1.0,0,0.9348958333333334,151,137,4,92,0.9348958333333334,384,0,0.3932291666666667,0.3567708333333333,0.010416666666666666,0.23958333333333334,closed-id_dinov3_vitb16_strict_seed0_605112,384
164,164,0.0,1.0,0,0.875,164,124,18,78,0.875,384,0,0.4270833333333333,0.3229166666666667,0.046875,0.203125,closed-id_dinov3_vitb16_strict_seed1_605112,384
157,157,0.0,1.0,0,0.8958333333333334,157,129,8,90,0.8958333333333334,384,0,0.4088541666666667,0.3359375,0.020833333333333332,0.234375,closed-id_dinov3_vitb16_strict_seed2_605112,384
6,1,0.8333333333333334,0.16666666666666666,5,0.024171270718232045,6,3719,131,488,0.1875,384,3960,0.0013812154696132596,0.8561233885819521,0.030156537753222835,0.11233885819521179,full-open_dinov3_vitb16_strict_seed0_605112,4344
8,2,0.75,0.25,6,0.026933701657458564,8,3721,119,496,0.21875,384,3960,0.001841620626151013,0.8565837937384899,0.027394106813996316,0.1141804788213628,full-open_dinov3_vitb16_strict_seed1_605112,4344
4,0,1.0,0.0,4,0.023480662983425413,4,3725,104,511,0.15885416666666666,384,3960,0.0009208103130755065,0.8575046040515654,0.02394106813996317,0.11763351749539595,full-open_dinov3_vitb16_strict_seed2_605112,4344
157,157,0.0,1.0,0,0.9244791666666666,157,118,6,103,0.9244791666666666,384,0,0.4088541666666667,0.3072916666666667,0.015625,0.2682291666666667,resource-open_dinov3_vitb16_strict_seed0_605112,384
177,177,0.0,1.0,0,0.8854166666666666,177,105,13,89,0.8854166666666666,384,0,0.4609375,0.2734375,0.033854166666666664,0.23177083333333334,resource-open_dinov3_vitb16_strict_seed1_605112,384
170,170,0.0,1.0,0,0.9088541666666666,170,110,8,96,0.9088541666666666,384,0,0.4427083333333333,0.2864583333333333,0.020833333333333332,0.25,resource-open_dinov3_vitb16_strict_seed2_605112,384
151,151,0.0,1.0,0,0.3822418136020151,151,1341,4,92,0.9348958333333334,384,1204,0.095088161209068,0.8444584382871536,0.0025188916876574307,0.05793450881612091,source-open_dinov3_vitb16_strict_seed0_605112,1588
164,164,0.0,1.0,0,0.5201511335012594,164,1328,18,78,0.875,384,1204,0.10327455919395466,0.836272040302267,0.011335012594458438,0.0491183879093199,source-open_dinov3_vitb16_strict_seed1_605112,1588
157,157,0.0,1.0,0,0.41435768261964734,157,1333,8,90,0.8958333333333334,384,1204,0.09886649874055416,0.8394206549118388,0.005037783375314861,0.05667506297229219,source-open_dinov3_vitb16_strict_seed2_605112,1588
151,151,0.0,1.0,0,0.30462184873949577,151,1181,4,92,0.9348958333333334,384,1044,0.1057422969187675,0.8270308123249299,0.0028011204481792717,0.06442577030812324,task-open_dinov3_vitb16_strict_seed0_605112,1428
164,164,0.0,1.0,0,0.3025210084033613,164,1168,18,78,0.875,384,1044,0.11484593837535013,0.8179271708683473,0.012605042016806723,0.0546218487394958,task-open_dinov3_vitb16_strict_seed1_605112,1428
157,157,0.0,1.0,0,0.3389355742296919,157,1173,8,90,0.8958333333333334,384,1044,0.10994397759103641,0.8214285714285714,0.0056022408963585435,0.06302521008403361,task-open_dinov3_vitb16_strict_seed2_605112,1428
