accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,coverage,goodput_per_resource,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,seed,semantic_goodput,target_openout,task
0,0,0.0,0.0,0,0.8984375,0.0,0.0,dino_detector,0.0,1.0,0.6,0.1,12.8,0,0.0,0.05,full-open
0,0,0.0,0.0,0,0.9765625,0.0,0.0,ensemble_detector,0.0,1.0,0.6,0.1,12.8,0,0.0,0.05,full-open
0,0,0.0,0.0,0,0.890625,0.0,0.0,deepjscc_pca,0.0,1.0,0.6,0.1,12.8,0,0.0,0.05,full-open
0,0,0.0,0.0,0,0.9765625,0.0,0.0,witt_context_style,0.0,1.0,0.6,0.1,12.8,0,0.0,0.05,full-open
0,0,0.0,0.0,0,0.9765625,0.0,0.0,fixed_refine_all,0.0,1.0,0.6,0.1,12.8,0,0.0,0.05,full-open
0,0,0.0,0.0,0,0.5,0.0,0.0,opensemcom_receiver_only,0.0,1.0,0.6,0.1,12.8,0,0.0,0.05,full-open
1,1,1.0,0.0,0,0.5,0.0078125,0.07194244604316546,opensemcom_no_channel,0.0,0.9921875,0.6,0.10859375,13.9,0,0.0078125,0.05,full-open
0,0,0.0,0.0,0,0.8984375,0.0,0.0,opensemcom_progressive,0.0,1.0,0.6,0.1,12.8,0,0.0,0.05,full-open
1,1,1.0,0.0,0,0.9083969465648855,0.007633587786259542,0.07142857142857142,dino_detector,0.0,0.9923664122137404,0.6,0.10687022900763359,14.0,0,0.007633587786259542,0.05,deepsense-beam
62,59,0.9516129032258065,0.04838709677419355,3,0.916030534351145,0.4732824427480916,0.7257072570725708,ensemble_detector,0.0,0.5267175572519084,0.6,0.6206106870229008,81.3,0,0.45038167938931295,0.05,deepsense-beam
0,0,0.0,0.0,0,0.9007633587786259,0.0,0.0,deepjscc_pca,0.0,1.0,0.6,0.1,13.100000000000001,0,0.0,0.05,deepsense-beam
1,1,1.0,0.0,0,0.916030534351145,0.007633587786259542,0.06944444444444445,witt_context_style,0.0,0.9923664122137404,0.6,0.1099236641221374,14.4,0,0.007633587786259542,0.05,deepsense-beam
1,1,1.0,0.0,0,0.916030534351145,0.007633587786259542,0.0684931506849315,fixed_refine_all,0.0,0.9923664122137404,0.6,0.11145038167938931,14.6,0,0.007633587786259542,0.05,deepsense-beam
62,61,0.9838709677419355,0.016129032258064516,1,0.9236641221374046,0.4732824427480916,0.7503075030750308,opensemcom_receiver_only,0.0,0.5267175572519084,0.6,0.6206106870229008,81.3,0,0.46564885496183206,0.05,deepsense-beam
65,62,0.9538461538461539,0.046153846153846156,3,0.9312977099236641,0.4961832061068702,0.7328605200945627,opensemcom_no_channel,0.0,0.5038167938931297,0.6,0.6458015267175572,84.6,0,0.4732824427480916,0.05,deepsense-beam
77,74,0.961038961038961,0.03896103896103896,3,0.9236641221374046,0.5877862595419847,0.8980582524271844,opensemcom_progressive,0.0,0.4122137404580153,0.6,0.6290076335877863,82.4,0,0.5648854961832062,0.05,deepsense-beam
